2019-12-15 20:07:39 INFO     Excursion migration started with ID: 42037
2019-12-15 20:07:39 INFO     Excursion migration finished with ID: 31571
2019-12-15 20:07:39 INFO     Asset name: 3I The Northernmost tramride in the world, ID: 42037
2019-12-15 20:07:39 INFO     Asset exists, skip asset ID: excp42037
2019-12-15 20:07:39 INFO     Entry exists: 42037
2019-12-15 20:07:41 INFO     Entry deleted: 42037
2019-12-15 20:07:42 INFO     Entry added: 42037
2019-12-15 20:07:42 INFO     Excursion migration started with ID: 31573
2019-12-15 20:07:42 INFO     Excursion migration finished with ID: 42037
2019-12-15 20:07:42 INFO     Asset name: 4A Svartisen Glacier, ID: 31573
2019-12-15 20:07:44 INFO     excp31573 matches size to existing asset: 5t2JbJXE5ZQK2Hb00NoeRL
2019-12-15 20:07:44 INFO     Linking excp31573 to existing asset: 5t2JbJXE5ZQK2Hb00NoeRL
2019-12-15 20:07:45 INFO     Entry exists: 31573
2019-12-15 20:07:46 INFO     Entry deleted: 31573
2019-12-15 20:07:48 INFO     Entry added: 31573
2019-12-15 20:07:48 INFO     Excursion migration started with ID: 43583
2019-12-15 20:07:48 INFO     Excursion migration finished with ID: 31573
2019-12-15 20:07:48 INFO     Asset name: 4B Arctic Coastal Walk, ID: 43583
2019-12-15 20:07:49 INFO     Asset exists, skip asset ID: excp43583
2019-12-15 20:07:49 INFO     Entry exists: 43583
2019-12-15 20:07:51 INFO     Entry deleted: 43583
2019-12-15 20:07:52 INFO     Entry added: 43583
2019-12-15 20:07:52 INFO     Excursion migration started with ID: 31069
2019-12-15 20:07:52 INFO     Excursion migration finished with ID: 43583
2019-12-15 20:07:52 INFO     Asset name: A man standing next to a body of water, ID: 31069
2019-12-15 20:07:52 INFO     Asset exists, skip asset ID: excp31069
2019-12-15 20:07:52 INFO     Entry exists: 31069
2019-12-15 20:07:54 INFO     Entry deleted: 31069
2019-12-15 20:07:55 INFO     Entry added: 31069
2019-12-15 20:07:55 INFO     Excursion migration started with ID: 31574
2019-12-15 20:07:55 INFO     Excursion migration finished with ID: 31069
2019-12-15 20:07:55 INFO     Asset name: A man riding a wave on a surfboard in the water, ID: 31574
2019-12-15 20:07:56 INFO     Asset exists, skip asset ID: excp31574
